p(mbar)	loading(mmol/g)
0	0
256.789633	0.04863
506.106633	0.09237
756.102833	0.13602
1006.099133	0.17904
1505.956033	0.2636
2005.948033	0.34618
2505.941033	0.42705
3005.526033	0.50597
4005.647033	0.65818
5005.089033	0.80395
6005.073033	0.94346
8003.278033	1.20146
10002.296033	1.4367
11988.408033	1.64785
13984.978033	1.84099
16002.348033	2.01911
18001.228033	2.17941
19502.018033	2.29127

