p(mbar)	loading(mmol/g)
0	0
254.072319	0.46825
504.068619	0.61606
754.064819	0.72656
1004.197019	0.80796
1503.918019	0.94527
2003.639019	1.06299
2503.359019	1.16585
3002.944019	1.25986
4002.658019	1.40769
5001.556019	1.53316
5999.911019	1.64896
7997.571019	1.85352
9993.873019	2.01854
11987.590019	2.17717
13981.990019	2.32332
15979.110019	2.4528
17973.780019	2.58024
19477.560019	2.67838

