p(mbar)	loading(mmol/g)
0	0
252.441913	0.0151
502.709913	0.0208
752.570313	0.0268
1002.702513	0.0326
1502.287613	0.0438
2002.279613	0.0552
2502.272613	0.0662
3002.129613	0.0768
4001.570613	0.0973
5001.555613	0.11791
6000.861613	0.13843
7999.065613	0.17783
9998.357613	0.21694
11999.549613	0.25535
13998.029613	0.2935
15997.859613	0.33046
17995.659613	0.36734
19481.099613	0.39543

