p(mbar)	loading(mmol/g)
0	0
253.528796	4.67809
505.563096	5.12006
755.559396	5.35933
1005.691596	5.52237
1505.684296	5.74131
2005.405296	5.89159
2505.533296	6.00568
3005.254296	6.09627
4004.695296	6.23245
5003.186296	6.33306
6004.801296	6.41342
8002.326296	6.52891
10001.210296	6.61234
12002.536296	6.67434
13991.366296	6.7219
15968.646296	6.75858
17966.856296	6.79144
19470.366296	6.80838

