p(mbar)	loading(mmol/g)
0	0
49.048183	0.06443
99.455053	0.10715
148.503183	0.14404
249.181083	0.21062
498.769783	0.34489
748.494283	0.46851
998.490583	0.57585
1498.619183	0.76455
1998.340183	0.93726
2498.332183	1.09343
2997.917183	1.23017
3997.495183	1.48521
4997.344183	1.71461
5996.786183	1.92492
7994.718183	2.29244
9994.009183	2.61283
11972.511183	2.90297
13988.381183	3.16712
15987.401183	3.41459
17968.351183	3.64545
19462.211183	3.79284

