p(mbar)	loading(mmol/g)
0	0
50.135116	0.00918
100.406106	0.01145
149.318386	0.01383
250.132186	0.01868
499.584986	0.03038
749.717086	0.04142
999.713386	0.05239
1499.570386	0.07434
1999.291386	0.09588
2499.283386	0.11683
2999.140386	0.13721
3998.717386	0.17662
4998.159386	0.21499
5998.144386	0.25215
7996.756386	0.32184
9996.454386	0.38808
11990.446386	0.44995
13994.896386	0.51027
15994.326386	0.56607
17993.756386	0.62086
19492.776386	0.66015

