p(mbar)	loading(mmol/g)
0	0
48.368845	0.0151
98.503965	0.04372
147.959745	0.07792
248.637645	0.12798
498.090445	0.20443
748.086645	0.27554
997.811245	0.34443
1497.667845	0.45429
1997.660845	0.55988
2497.380845	0.65777
2997.101845	0.74782
3997.766845	0.87909
4996.664845	1.01041
5996.649845	1.13603
7995.668845	1.35411
9995.095845	1.55158
11994.521845	1.73331
13993.811845	1.89757
15994.191845	2.05198
17991.581845	2.19167
19492.641845	2.29205

