p(mbar)	loading(mmol/g)
0	0
252.713609	0.02071
502.845809	0.03095
753.113809	0.0417
1002.838309	0.05114
1502.695209	0.06852
2002.687209	0.0854
2502.816209	0.10139
3002.265209	0.11641
4001.571209	0.14489
5003.186209	0.17253
6001.405209	0.20002
7999.337209	0.2512
9999.035209	0.30029
11999.687209	0.34821
13998.157209	0.39393
16000.437209	0.43831
17995.247209	0.48195
19493.867209	0.51427

