p(mbar)	loading(mmol/g)
248.230011	0.42944
497.818711	0.69124
748.086711	0.90524
997.947111	1.09122
1497.667711	1.4083
1997.388711	1.68087
2497.652711	1.92257
2997.237711	2.14146
3996.407711	2.52521
4996.256711	2.86143
5995.698711	3.16188
7987.924711	3.67851
9986.942711	4.12624
11986.917711	4.52593
13968.407711	4.88508
15965.387711	5.22218
17965.087711	5.53927
19485.847711	5.77329

