p(mbar)	loading(mmol/g)
49.319927	0.00981
99.455037	0.01318
148.367317	0.01676
249.452817	0.02347
498.633917	0.03899
748.766017	0.05407
998.354717	0.06827
1498.619317	0.09583
1998.340317	0.12238
2498.332317	0.14874
2998.325317	0.174
3998.038317	0.22282
4997.751317	0.27032
5997.057317	0.31579
7995.669317	0.40281
9994.823317	0.48529
11991.805317	0.56339
13993.675317	0.63791
15994.325317	0.7092
17973.505317	0.77779
19492.915317	0.82807

