p(mbar)	loading(mmol/g)
0	0
255.023436	4.1721
507.465236	4.65561
756.782236	4.91789
1006.642636	5.09652
1506.635236	5.33889
2006.220236	5.50617
2506.484236	5.62827
3006.069236	5.72777
4005.511236	5.87334
5004.817236	5.98554
6004.802236	6.0711
8001.919236	6.20021
9998.900236	6.29569
11997.243236	6.37076
13977.233236	6.43256
15975.443236	6.47867
17967.943236	6.51443
19477.973236	6.54436

