p(mbar)	loading(mmol/g)
0	0
48.640575	0.02224
98.911565	0.03712
147.823845	0.05156
248.230045	0.08086
498.090445	0.15118
747.950845	0.21826
997.947145	0.28197
1497.939845	0.40249
1997.660845	0.51629
2497.788845	0.62457
2997.237845	0.72716
3997.222845	0.91122
4997.207845	1.08023
5996.513845	1.22501
7995.804845	1.4785
9994.144845	1.68708
11994.791845	1.87003
13992.181845	2.03297
15993.921845	2.17373
17990.361845	2.29705
19494.541845	2.3784

