p(mbar)	loading(mmol/g)
0	0
48.912312	0.00871
99.319172	0.01126
148.367352	0.01377
249.045252	0.01873
498.498052	0.03019
748.358452	0.04131
998.626452	0.0522
1498.211452	0.07417
1998.339452	0.09497
2498.332452	0.11575
2997.917452	0.13568
3997.766452	0.17474
4997.072452	0.21277
5996.921452	0.25008
7995.669452	0.32083
9994.960452	0.38904
11995.609452	0.45436
13995.169452	0.51657
15995.139452	0.57619
17993.209452	0.63415
19477.699452	0.67653

