p(mbar)	loading(mmol/g)
0	0
251.762541	0.67189
501.758841	0.88761
751.755141	1.043
1002.023141	1.15902
1501.608141	1.33993
2001.057141	1.49864
2501.321141	1.62148
3001.042141	1.72953
4000.212141	1.90977
4997.888141	2.06543
5996.242141	2.20591
7995.669141	2.44403
9988.573141	2.65921
11983.786141	2.86387
13982.396141	3.06116
15979.376141	3.25768
17942.936141	3.58214
18001.366141	3.58257
19473.626141	3.7217

