p(mbar)	loading(mmol/g)
0	0
252.985409	0.0122
502.845809	0.0164
752.706209	0.0206
1002.702509	0.0241
1502.831209	0.0311
2002.416209	0.0397
2502.136209	0.0503
3002.537209	0.0585
4001.842209	0.0767
5001.420209	0.0986
6001.677209	0.11551
8000.424209	0.15036
9999.172209	0.18616
12000.097209	0.22055
13998.297209	0.25918
15994.597209	0.29492
18002.177209	0.33015
19494.407209	0.35579

